kenteken;voertuigsoort;merk;handelsbenaming;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;aantal_cilinders;massa_ledig_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;europese_voertuigcategorie;plaats_chassisnummer;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;maximum_massa_samenstelling;subcategorie_nederland;aantal_zitplaatsen;cilinderinhoud;toegestane_maximum_massa_voertuig;laadvermogen;aanhangwagen_autonoom_geremd;aanhangwagen_middenas_geremd;type;vervaldatum_apk;maximum_massa_trekken_ongeremd;vervaldatum_tachograaf;vervaldatum_apk_dt;vervaldatum_tachograaf_dt;oplegger_geremd;typegoedkeuringsnummer;variant;uitvoering;aantal_rolstoelplaatsen;maximum_ondersteunende_snelheid;aantal_staanplaatsen;maximale_constructiesnelheid;hoogte_voertuig;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;maximum_trekken_massa_geremd;hoogte_voertuig_minimum;hoogte_voertuig_maximum;gem_lading_wrde;verticale_belasting_koppelpunt_getrokken_voertuig;aerodyn_voorz;verl_cab_ind;massa_alt_aandr;type_gasinstallatie;bruto_bpm;zuinigheidsclassificatie;catalogusprijs
00KKN1;Personenauto;VOLVO;V70;20130425;stationwagen;GRIJS;Niet geregistreerd;5;1590;1690;20100204;20100204;Geen verstrekking in Open Data;Ja;4;4;M1;onder r. voorzitting;0.08;282;Nee;Nee;Nee;2023;Logisch;00;Ja;2013-04-25T00:00:00.000;2010-02-04T00:00:00.000;2010-02-04T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;482;0;2310;0;4110;;5;2400;2310;;;;B;20240429;750;;2024-04-29T00:00:00.000;;;e9*2001/116*0065*07;BW72;BW7240??;0;;;;;;;1800;;;;;;;;;13275;D;50319
00KLB9;Personenauto;VOLVO;V70;20211004;stationwagen;GRIJS;Niet geregistreerd;4;1467;1567;20100120;20100120;Geen verstrekking in Open Data;Ja;4;4;M1;onder r. voorzitting;0.07;282;Nee;Nee;Nee;2023;Logisch;00;Ja;2021-10-04T00:00:00.000;2010-01-20T00:00:00.000;2010-01-20T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;482;0;2180;0;3500;;5;1999;2180;;;;B;20240124;750;;2024-01-24T00:00:00.000;;;e9*2001/116*0065*07;BW43;BW4352??;0;;;;;;;1320;;;;;;;;;9725;D;
00KLJ9;Personenauto;VOLVO;C30;20130119;coupe;WIT;Niet geregistreerd;4;1229;1329;20100102;20100102;Geen verstrekking in Open Data;Ja;2;4;M1;midden op schutbord onder motorkap;0.07;264;Nee;Nee;Nee;2022;Logisch;00;Ja;2013-01-19T00:00:00.000;2010-01-02T00:00:00.000;2010-01-02T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;425;0;1750;0;3050;;4;1798;1750;;;;M;20240102;650;;2024-01-02T00:00:00.000;;;e4*2001/116*0076*18;MK21;MK2142??;0;;;;;;;1300;;;;;;;;;5459;D;
00KLK1;Personenauto;VOLVO;V70;;stationwagen;ZWART;Niet geregistreerd;5;1590;1690;20100122;20100122;Geen verstrekking in Open Data;Nee;4;4;M1;onder r. voorzitting;0.08;282;Ja;Nee;Nee;2022;Logisch;00;Nee;;2010-01-22T00:00:00.000;2010-01-22T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;482;0;2310;0;4110;;5;2400;2310;;;;B;20220830;750;;2022-08-30T00:00:00.000;;;e9*2001/116*0065*07;BW72;BW7240??;0;;;;;;;1800;;;;;;;;;12940;D;
00KLS1;Personenauto;VOLVO;XC60;20230413;stationwagen;ZWART;Niet geregistreerd;5;1618;1718;20100105;20100105;Geen verstrekking in Open Data;Ja;4;4;M1;r. bodemplaat v. voorzitting;0.08;277;Nee;Nee;Nee;2023;Logisch;00;Ja;2023-04-13T00:00:00.000;2010-01-05T00:00:00.000;2010-01-05T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;463;0;2505;0;4005;;5;2400;2505;;;;D;20240331;750;;2024-03-31T00:00:00.000;;;e9*2001/116*0068*03;DZ72;DZ7241??;0;;;;;;;1500;;;;;;;;;12807;C;
00KLT1;Personenauto;VOLVO;V70;20130117;stationwagen;ZWART;Niet geregistreerd;4;1552;1652;20100114;20100114;Geen verstrekking in Open Data;Ja;4;4;M1;onder r. voorzitting;0.06;282;Nee;Nee;Nee;2023;Onlogisch;04;Ja;2013-01-17T00:00:00.000;2010-01-14T00:00:00.000;2010-01-14T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;482;0;2270;0;3870;;5;1997;2270;;;;B;20240220;750;;2024-02-20T00:00:00.000;;;e9*2001/116*0065*06;BW75;BW7541??;0;;;;;;;1600;;;;;;;;;10065;C;
00KNB8;Personenauto;VOLVO;XC90;20151121;MPV;ZWART;Niet geregistreerd;5;2010;2110;20100114;20100114;Geen verstrekking in Open Data;Ja;4;4;M1;midden tegen schutbord onder motorkap;0.07;286;Nee;Nee;Nee;2023;Logisch;00;Ja;2015-11-21T00:00:00.000;2010-01-14T00:00:00.000;2010-01-14T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;481;0;2720;0;4970;;7;2521;2720;;;;C;20240305;750;;2024-03-05T00:00:00.000;;;e9*2001/116*0046*20;CZ59;CZ5957??;0;;;;;;;2250;;;;;;;;;21489;G;
00KNP3;Personenauto;VOLVO;XC60;20180302;stationwagen;ZWART;Niet geregistreerd;6;1746;1846;20100106;20100106;Geen verstrekking in Open Data;Ja;4;4;M1;r. bodemplaat v. voorzitting;0.11;277;Nee;Nee;Nee;2023;Logisch;00;Ja;2018-03-02T00:00:00.000;2010-01-06T00:00:00.000;2010-01-06T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;463;0;2440;0;4440;;5;2953;2440;;;;D;20240106;750;;2024-01-06T00:00:00.000;;;e9*2001/116*0068*00;DZ99;DZ9956??;0;;;;;;;2000;;;;;;;;;26231;G;
00KNT7;Personenauto;VOLVO;V50;20190909;MPV;ZWART;Niet geregistreerd;4;1283;1383;20100109;20100109;Geen verstrekking in Open Data;Ja;4;4;M1;midden op schutbord onder motorkap;0.08;264;Nee;Nee;Nee;2022;Logisch;00;Ja;2019-09-09T00:00:00.000;2010-01-09T00:00:00.000;2010-01-09T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;452;0;1890;0;3240;;5;1999;1890;;;;M;20230910;650;;2023-09-10T00:00:00.000;;;e4*2001/116*0076*18;MW43;MW4342??;0;;;;;;;1350;;;;;;;;;6509;D;30829
00KNT8;Personenauto;VOLVO;S80;20200803;sedan;BLAUW;Niet geregistreerd;6;1645;1745;20100107;20100107;Geen verstrekking in Open Data;Ja;4;4;M1;r. op bodemplaat by voorzitting;0.12;284;Nee;Nee;Nee;2023;Logisch;00;Ja;2020-08-03T00:00:00.000;2010-01-07T00:00:00.000;2010-01-07T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;485;0;2330;0;4330;;5;2953;2330;;;;A;20240310;750;;2024-03-10T00:00:00.000;;;e9*2001/116*0057*11;AR99;AR9956??;0;;;;;;;2000;;;;;;;;;23070;G;72759
00KNT9;Personenauto;VOLVO;XC60;20130419;stationwagen;ROOD;Niet geregistreerd;5;1711;1811;20100108;20100108;Geen verstrekking in Open Data;Ja;4;4;M1;r. bodemplaat v. voorzitting;0.08;277;Nee;Nee;Nee;2023;Logisch;00;Ja;2013-04-19T00:00:00.000;2010-01-08T00:00:00.000;2010-01-08T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;463;0;2505;0;4505;;5;2400;2505;;;;D;20240504;750;;2024-05-04T00:00:00.000;;;e9*2001/116*0068*04;DZ70;DZ7046??;0;;;;;;;2000;;;;;;;;;19359;E;67335
00KPS6;Personenauto;VOLVO;C30;20230308;coupe;ZWART;Niet geregistreerd;4;1178;1278;20100123;20100123;Geen verstrekking in Open Data;Ja;2;4;M1;midden op schutbord onder motorkap;0.06;264;Nee;Nee;Nee;2023;Logisch;00;Ja;2023-03-08T00:00:00.000;2010-01-23T00:00:00.000;2010-01-23T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;427;0;1700;0;2900;;4;1596;1700;;;;M;20231117;600;;2023-11-17T00:00:00.000;;;e4*2001/116*0076*19;MK20;MK2042??;0;;;;;;;1200;;;;;;;;;4564;D;21769
00KPV2;Personenauto;VOLVO;XC60;20210528;stationwagen;BRUIN;Niet geregistreerd;5;1711;1811;20100115;20100115;Geen verstrekking in Open Data;Ja;4;4;M1;r. bodemplaat v. voorzitting;0.08;277;Nee;Nee;Nee;2023;Logisch;00;Ja;2021-05-28T00:00:00.000;2010-01-15T00:00:00.000;2010-01-15T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;463;0;2505;0;4505;;5;2400;2505;;;;D;20240526;750;;2024-05-26T00:00:00.000;;;e9*2001/116*0068*04;DZ70;DZ7046??;0;;;;;;;2000;;;;;;;;;20894;E;75535
00KPX5;Personenauto;VOLVO;V70;20230411;stationwagen;BRUIN;Niet geregistreerd;4;1474;1574;20090615;20100402;Geen verstrekking in Open Data;Ja;4;4;M1;r. voorzitting;0.07;282;Nee;Nee;Nee;2023;Geen oordeel;05;Ja;2023-04-11T00:00:00.000;2009-06-15T00:00:00.000;2010-04-02T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;482;0;2180;0;3500;;5;1999;2180;;;;B;20240411;750;;2024-04-11T00:00:00.000;;;e9*2001/116*0065*04;BW43;BW4352??;0;0.00;;;;;;1320;;;;;;;;;9473;C;
00KPX8;Personenauto;VOLVO;V50;20121109;stationwagen;GRIJS;Niet geregistreerd;4;1270;1370;20100115;20100115;Geen verstrekking in Open Data;Ja;4;4;M1;midden op schutbord onder motorkap;0.07;264;Nee;Nee;Nee;2023;Logisch;00;Ja;2012-11-09T00:00:00.000;2010-01-15T00:00:00.000;2010-01-15T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;452;0;1890;0;3190;;5;1798;1890;;;;M;20230802;650;;2023-08-02T00:00:00.000;;;e4*2001/116*0076*17;MW21;MW2142??;0;;;;;;;1300;;;;;;;;;6387;D;30476
00KRL9;Personenauto;VOLVO;V50;;MPV;ZWART;Niet geregistreerd;4;1294;1394;20100121;20100121;Geen verstrekking in Open Data;Nee;4;4;M1;midden op schutbord onder motorkap;0.06;264;Ja;Nee;Nee;2022;Onlogisch;04;Nee;;2010-01-21T00:00:00.000;2010-01-21T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;452;0;1900;0;2700;;5;1560;1900;;;;M;20220828;697;;2022-08-28T00:00:00.000;;;e4*2001/116*0076*18;MW76;MW76F2??;0;;;;;;;800;;;;;;;;;6220;A;31994
00KSL8;Personenauto;VOLVO;XC90;20220712;stationwagen;WIT;Niet geregistreerd;6;2031;2131;20030701;20100205;Geen verstrekking in Open Data;Ja;4;4;M1;schutbord;0.09;285;Nee;Nee;Nee;2023;Onlogisch;04;Ja;2022-07-12T00:00:00.000;2003-07-01T00:00:00.000;2010-02-05T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;2760;;;;;2922;2760;;;;;20240128;750;;2024-01-28T00:00:00.000;;;;;;;;;;;;;2000;;;;;;;;;16739;;
00KSP1;Personenauto;VOLVO;V70;20150728;stationwagen;ZWART;Niet geregistreerd;4;1467;1567;20100204;20100204;Geen verstrekking in Open Data;Ja;4;4;M1;onder r. voorzitting;0.07;282;Nee;Nee;Nee;2022;Logisch;00;Ja;2015-07-28T00:00:00.000;2010-02-04T00:00:00.000;2010-02-04T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;482;0;2180;0;3500;;5;1999;2180;;;;B;20231005;750;;2023-10-05T00:00:00.000;;;e9*2001/116*0065*07;BW43;BW4352??;0;;;;;;;1320;;;;;;;;;11597;D;43196
00KTD2;Personenauto;VOLVO;V70;20200617;stationwagen;GRIJS;Niet geregistreerd;4;1467;1567;20100215;20100215;Geen verstrekking in Open Data;Ja;4;4;M1;onder r. voorzitting;0.07;282;Nee;Nee;Nee;2023;Logisch;00;Ja;2020-06-17T00:00:00.000;2010-02-15T00:00:00.000;2010-02-15T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;482;0;2180;0;3500;;5;1999;2180;;;;B;20240415;750;;2024-04-15T00:00:00.000;;;e9*2001/116*0065*07;BW43;BW4352??;0;;;;;;;1320;;;;;;;;;11674;D;43610
00KTR3;Personenauto;VOLVO;V70;20220720;stationwagen;GRIJS;Niet geregistreerd;5;1625;1725;20010125;20100410;Geen verstrekking in Open Data;Ja;4;4;M1;midden tegen schutbord onder motorkap;0.09;276;Nee;Nee;Nee;2023;Geen oordeel;05;Ja;2022-07-20T00:00:00.000;2001-01-25T00:00:00.000;2010-04-10T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;471;0;2130;1;3930;;5;2435;2130;;;;;20240419;500;;2024-04-19T00:00:00.000;;;e4*98/14*0040*02;SW58;SW58K9;0;;;;;;;1800;;;;;;;;G3 gasinstallatie;10580;E;
00KTS2;Personenauto;VOLVO;XC70;20230308;stationwagen;BLAUW;Niet geregistreerd;5;1716;1816;20100211;20100211;Geen verstrekking in Open Data;Ja;4;4;M1;onder r. voorzitting;0.07;282;Nee;Nee;Nee;2023;Logisch;00;Ja;2023-03-08T00:00:00.000;2010-02-11T00:00:00.000;2010-02-11T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;484;0;2400;1;4500;;5;2400;2400;;;;B;20230514;750;;2023-05-14T00:00:00.000;;;e9*2001/116*0065*03;BZ71;BZ7146??;0;;;;;;;2100;;;;;;;;;22488;F;73105
00KVD6;Personenauto;VOLVO;C30;20150213;coupe;BLAUW;Niet geregistreerd;4;1256;1356;20100226;20100226;Geen verstrekking in Open Data;Ja;2;4;M1;midden op schutbord onder motorkap;0.06;264;Nee;Nee;Nee;2023;Logisch;00;Ja;2015-02-13T00:00:00.000;2010-02-26T00:00:00.000;2010-02-26T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;427;0;1780;0;0;;4;1560;1780;;;;M;20231221;;;2023-12-21T00:00:00.000;;;e4*2001/116*0076*19;MK76;MK76H2??;0;;;;;;;;;;;;;;;;5115;A;26829
00KVP9;Personenauto;VOLVO;XC60;20130909;stationwagen;ZWART;Niet geregistreerd;5;1642;1742;20100223;20100223;Geen verstrekking in Open Data;Ja;4;4;M1;r. bodemplaat v. voorzitting;0.07;277;Nee;Nee;Nee;2023;Logisch;00;Ja;2013-09-09T00:00:00.000;2010-02-23T00:00:00.000;2010-02-23T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;463;0;2505;0;4305;;5;2400;2505;;;;D;20230829;750;;2023-08-29T00:00:00.000;;;e9*2001/116*0068*04;DZ72;DZ7240??;0;;;;;;;1800;;;;;;;;;18316;D;70514
00KVS2;Personenauto;VOLVO;745;20121011;stationwagen;GRIJS;Niet geregistreerd;4;1400;1500;19860111;20100217;Geen verstrekking in Open Data;Nee;4;4;M1;r. deurstyl;0.06;277;Nee;Nee;Nee;2011;Geen oordeel;05;Ja;2012-10-11T00:00:00.000;1986-01-11T00:00:00.000;2010-02-17T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;1900;;;;;2316;1900;;;;;20130118;750;;2013-01-18T00:00:00.000;;;;;;;;;;;;;;;;;;;;;;35472;;
00KVS8;Personenauto;VOLVO;V70;20190723;stationwagen;ZWART;Niet geregistreerd;4;1552;1652;20100224;20100224;Geen verstrekking in Open Data;Ja;4;4;M1;onder r. voorzitting;0.06;282;Nee;Nee;Nee;2023;Logisch;00;Ja;2019-07-23T00:00:00.000;2010-02-24T00:00:00.000;2010-02-24T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;482;0;2270;0;3870;;5;1997;2270;;;;B;20240522;750;;2024-05-22T00:00:00.000;;;e9*2001/116*0065*07;BW75;BW7541??;0;;;;;;;1600;;;;;;;;;10602;C;43527
00KXB4;Personenauto;VOLVO;C30;;coupe;ZWART;Niet geregistreerd;4;1256;1356;20100302;20100302;Geen verstrekking in Open Data;Nee;2;4;M1;midden op schutbord onder motorkap;0.06;264;Ja;Nee;Nee;2022;Onlogisch;04;Nee;;2010-03-02T00:00:00.000;2010-03-02T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;427;0;1780;0;0;;4;1560;1780;;;;M;20220830;;;2022-08-30T00:00:00.000;;;e4*2001/116*0076*19;MK76;MK76H2??;0;;;;;;;;;;;;;;;;5207;A;27320
00KXF4;Personenauto;VOLVO;V70;20190523;stationwagen;ZWART;Niet geregistreerd;5;1553;1653;20011221;20100222;Geen verstrekking in Open Data;Ja;4;4;M1;midden tegen schutbord onder motorkap;0.09;276;Nee;Nee;Nee;2023;Geen oordeel;05;Ja;2019-05-23T00:00:00.000;2001-12-21T00:00:00.000;2010-02-22T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;471;0;2110;0;3910;;5;2435;2110;;;;;20240311;750;;2024-03-11T00:00:00.000;;;e4*98/14*0040*04;SW58;SW58K2;0;;;;;;;1800;;;;;;;;;10673;D;
00KXT4;Personenauto;VOLVO;S80;20200821;sedan;BLAUW;Niet geregistreerd;5;1529;1629;20100305;20100305;Geen verstrekking in Open Data;Ja;4;4;M1;r. op bodemplaat by voorzitting;0.08;284;Nee;Nee;Nee;2022;Logisch;00;Ja;2020-08-21T00:00:00.000;2010-03-05T00:00:00.000;2010-03-05T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;485;0;2200;0;4000;;5;2400;2200;;;;A;20230710;750;;2023-07-10T00:00:00.000;;;e9*2001/116*0057*12;AS72;AS7240??;0;;;;;;;1800;;;;;;;;;14306;D;54015
00KXX9;Personenauto;VOLVO;V70;20101210;stationwagen;ZWART;Niet geregistreerd;5;1590;1690;20100312;20100312;Geen verstrekking in Open Data;Ja;4;4;M1;onder r. voorzitting;0.08;282;Nee;Nee;Nee;2023;Logisch;00;Ja;2010-12-10T00:00:00.000;2010-03-12T00:00:00.000;2010-03-12T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;482;0;2310;0;4110;;5;2400;2310;;;;B;20240312;750;;2024-03-12T00:00:00.000;;;e9*2001/116*0065*08;BW72;BW7240??;0;;;;;;;1800;;;;;;;;;14801;D;53925
00KZB6;Personenauto;VOLVO;V70;20190525;stationwagen;ZWART;Niet geregistreerd;5;1524;1624;20061004;20100308;Geen verstrekking in Open Data;Ja;4;4;M1;midden tegen schutbord onder motorkap;0.12;276;Nee;Nee;Nee;2022;Geen oordeel;05;Ja;2019-05-25T00:00:00.000;2006-10-04T00:00:00.000;2010-03-08T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;472;0;2140;0;3940;;5;2401;2140;;;;S;20230616;750;;2023-06-16T00:00:00.000;;;e4*2001/116*0040*16;SW54;SW5441??;0;0.00;;;;;;1800;;;;;;;;;10417;E;
00KZF5;Personenauto;VOLVO;XC90;20170104;stationwagen;GRIJS;Niet geregistreerd;6;2224;2324;20090630;20100302;Geen verstrekking in Open Data;Ja;4;4;M1;schutbord;0.08;285;Nee;Nee;Nee;2022;Geen oordeel;05;Ja;2017-01-04T00:00:00.000;2009-06-30T00:00:00.000;2010-03-02T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;2760;;;;7;3192;2760;;;;;20230806;750;;2023-08-06T00:00:00.000;;;;;;;;;;;;;;;;;;;;;;30823;;
